IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2017,true,,,,,,,,,,,,,0.022,,,,,,0.022,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,,,,,,,,,,,,,0.028,,,,,,0.028,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2017,true,,,,,,,,,,,,,0.04,,,,,,0.040,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2017,true,,,,,,,,,,,,,0.069,,,,,,0.069,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2017,true,,,,,,,,,,,,,0.085,,,,,,0.085,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,true,,,,,,,,,,,,,0.089,,,,,,0.089,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2017,true,,,,,,,,,,,,,0.15,,,,,,0.152,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2017,true,,,,,,,,,,,,,0.28,,,,,,0.285,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,SRB,Serbia,Year,2017,true,,,,,,,,,,,,,0.36,,,,,,0.362,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,true,,,,,,,,,,,,,0.48,,,,,,0.478,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,MKD,North Macedonia,Year,2017,true,,,,,,,,,,,,,1.44,,,,,,1.443,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,1.46,,,,,,1.458,,,EN,2019-04-25T04:00:00.000Z
MH_8,"Social workers working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,,,,,,,,,,,,,1.51,,,,,,1.509,,,EN,2019-04-25T04:00:00.000Z
