IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Value,FactValueTranslationID,Language,DateModified,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)"
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Antigua and Barbuda,ATG,2016.0,0.20644,0.925316,0.350415,4.607747,0.785774,2.551108,2.150762,2.664482,2444.99263
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Antigua and Barbuda,ATG,2016.0,2.006374,3.048575,95000.0,,,,,2.664482,2444.99263
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Antigua and Barbuda,ATG,2016.0,0.20644,0.925316,0.350415,4.607747,0.785774,2.551108,2.150762,2.664482,2444.99263
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Antigua and Barbuda,ATG,2016.0,2.006374,3.048575,95000.0,,,,,2.664482,2444.99263
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ARG,Argentina,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Argentina,ARG,2016.0,0.198042,0.772948,0.401108,6.280932,0.999099,3.661312,1.822573,10.627446,3367.801054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ARG,Argentina,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Argentina,ARG,2016.0,2.703439,4.54882,43508000.0,,,,,10.627446,3367.801054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ARG,Argentina,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Argentina,ARG,2016.0,0.198042,0.772948,0.401108,6.280932,0.999099,3.661312,1.822573,10.627446,3367.801054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ARG,Argentina,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Argentina,ARG,2016.0,2.703439,4.54882,43508000.0,,,,,10.627446,3367.801054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ARG,Argentina,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Argentina,ARG,2016.0,0.198042,0.772948,0.401108,6.280932,0.999099,3.661312,1.822573,10.627446,3367.801054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,ARG,Argentina,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Argentina,ARG,2016.0,2.703439,4.54882,43508000.0,,,,,10.627446,3367.801054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AUT,Austria,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Austria,AUT,2016.0,0.256783,0.939716,0.674727,5.342175,0.907326,3.262611,1.855808,11.420546,2994.358681
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AUT,Austria,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Austria,AUT,2016.0,2.218025,4.267402,8747000.0,,,,,11.420546,2994.358681
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AUT,Austria,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Austria,AUT,2016.0,0.256783,0.939716,0.674727,5.342175,0.907326,3.262611,1.855808,11.420546,2994.358681
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AUT,Austria,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Austria,AUT,2016.0,2.218025,4.267402,8747000.0,,,,,11.420546,2994.358681
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AUT,Austria,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Austria,AUT,2016.0,0.256783,0.939716,0.674727,5.342175,0.907326,3.262611,1.855808,11.420546,2994.358681
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AUT,Austria,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Austria,AUT,2016.0,2.218025,4.267402,8747000.0,,,,,11.420546,2994.358681
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Azerbaijan,AZE,2016.0,0.199563,0.689448,0.203629,2.581278,0.484388,2.580951,2.314679,4.107188,2453.639675
