"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7","24.2","20.8","15.8","12.3","9.4","7.1","5.8","3.9","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"American Samoa","ASM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Austria","AUT","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Azerbaijan","AZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8","13.3","10.3","7.3","4.7","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Burundi","BDI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Benin","BEN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","15.6","13.7","13.2","12","11","10.1","9.1","9.1","8.6","8.6","8.4","8.2","8.2","8.1","8.7","9.5","10.4","10.6","10.2","9.9","","",
"Burkina Faso","BFA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","20.9","18.9","18.5","17.8","17.4","16.1","15.4","14.6","14.5","14.2","13.7","13.2","13.1","13.3","13.6","13.7","14","14.6","15.5","16.2","","",
"Bangladesh","BGD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6","14.8","14.4","13.9","13.7","13.2","13.2","12.9","14.4","15.2","16.1","15.8","15.6","14.8","14.8","14.3","13.6","12.7","11.8","11.7","11.2","","",
"Bulgaria","BGR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","4.1","4.4","4.8","4.8","5","4.6","4.4","4.4","4.6","4.8","4.3","3.8","3.8","3.7","3.8","3.1","2.8","2.7","2.5","2.5","","",
"Bahrain","BHR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.2","2.7","2.5","2.5","2.5","2.5","2.5","2.5","2.5","3","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Belarus","BLR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.7","3.2","3.3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Belize","BLZ","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","5.7","5.6","5.4","5.5","5.6","6.3","6.7","6.4","5.8","5.4","5.8","6.3","6.6","6.8","6.4","6","5.3","4.8","4.7","4.9","","",
"Bermuda","BMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","27","27.9","27.9","27.1","24.8","24.2","24.9","23.5","21.3","18.6","18","17.9","17.1","16","14.9","14.2","13.8","13.7","16.2","19.4","","",
"Brazil","BRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","9.3","7.9","6.9","6.5","6.2","5.6","5.1","4.3","3.7","3.2","3","2.8","2.6","2.5","2.5","2.5","2.5","2.5","3.7","4.7","","",
"Barbados","BRB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.9","6.3","5.9","5.9","5.1","5.1","4.7","3.9","3.2","2.5","2.5","2.5","2.5","2.5","2.6","2.6","2.5","2.5","2.5","2.5","","",
"Brunei Darussalam","BRN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8","24.2","24.8","23.9","22.9","22.6","22.5","22.3","22.4","22.5","22.7","22.8","23","23.3","24.1","25","26.3","26.4","26.4","24.5","22.9","","",
"Central African Republic","CAF","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","39.5","40","39.8","38.9","37.1","35","32.6","32.8","33.4","34.9","37.4","42.1","46.9","49.1","48","46.7","44.5","44.8","45.7","48.7","","",
"Canada","CAN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Central Europe and the Baltics","CEB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.01821749538438","2.9150104266791","2.87390994294943","2.8577330304723","2.81812003652028","2.83712948834017","2.79827279405521","2.75852893609537","2.74803833093314","2.78297319706746","2.84664859972117","2.79301734757765","2.74243164496857","2.75304249444803","2.74099846669338","2.73233643329195","2.62073590405489","2.56304881570719","2.52427751091795","2.5","2.51611402453431","","",
"Switzerland","CHE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Channel Islands","CHI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.3","3.2","3.3","3.2","3.2","3.2","3.6","3.7","3.7","3.6","3.4","3.3","3.1","3.1","3.1","3","2.8","2.6","2.5","2.5","","",
"China","CHN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2","9.6","8.8","8","7.1","6.1","5","3.9","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Cote d'Ivoire","CIV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2","18.2","17.7","17.2","16.9","17","18","18.9","18.3","16.4","14.4","13.4","13.4","12.6","11.9","10.6","9.8","9","8.4","7.9","7.7","","",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7","20.6","19.2","17.5","15.8","14","12.5","11.1","8.2","5.9","4","3.7","3.8","4.1","4.4","5","5.6","5.9","5.8","5.6","6.4","","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.1","28.4","29.2","29.4","29.6","30.2","30.8","31.2","31","32.5","33.9","35.3","","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26.5","26.7","32.1","34.5","37.2","36","36.1","37.3","38.7","38.8","35.8","31","27.9","27.7","28.5","30.2","30.8","31.1","32","33.3","","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","9.3","10","10.8","11.5","11.7","11.3","11.5","11.4","11.3","9.9","8.5","7","5.8","4.9","4.5","4.3","4.6","5.4","6.3","6.6","","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2","21.1","18.2","16.8","16.8","17.5","18.7","20","18.2","16.2","14","13.7","13.2","12.8","12.4","11.9","11.6","11.7","11.6","11.9","13.5","","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","13.6","11.7","11.2","11.5","12.4","13.3","15.7","17","18.2","18.5","19.4","20.7","21.4","21.7","20.9","19.8","18.5","18.1","18.2","","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","5","5.2","4.9","4.3","3.9","3.7","3.9","4.2","4.6","5","5.1","5","4.8","4.2","3.7","3.2","3.1","3.1","3.1","3","","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.07798112098283","7.80708606463916","7.72777814582765","7.52616053403961","7.42305100727736","7.04335343684969","7.29249764965811","7.13236033189081","7.32144079648796","7.33654062174343","7.27200248214754","7.02793915224556","6.55766277939056","6.25309717204505","5.89463618948516","5.61577654054954","5.50366694594209","5.28883765048462","5.20264812683851","5.03503572777052","4.83405558360767","","",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.8","6.2","7","7.7","7.7","7.1","6.7","5","3.3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Czechia","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","40.7","37.9","34.1","30.2","25.8","23.3","21.3","24.1","26.5","28.5","26.9","25.3","22.9","21.3","20.2","19.9","19.4","19","17.3","16.8","","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","4.1","4.6","4.8","5.2","4.8","4.5","4.1","4.2","4.2","4.2","4.1","4.7","5","5.6","5.6","6.1","6.4","6.8","7.1","6.7","","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","22.8","23.8","23.2","19.4","16.6","16.4","16.2","15.5","13.5","11.7","10.4","9.2","8.4","7.4","6.7","6","5.7","6.3","6.3","6.3","","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","7.4","7","7","6.7","6.4","5.9","5.6","5.1","4.3","3.7","3.1","2.9","2.7","2.6","2.6","2.6","2.5","2.5","2.5","2.5","","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4615601222177","12.8374251319272","11.9991353948254","11.2955260818064","10.5129744889954","9.6383098030912","8.61855678393201","7.58707198562426","6.44279836301615","5.79837337158632","5.35623628093172","5.1016716035803","4.85636684428152","4.71541080380357","4.52415873624873","4.35351176055757","4.17575907545074","4.05821780526034","4.00651699667565","4.01251715433031","4.00474240305769","","",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4390073082413","17.9983119123491","18.440758403431","18.290527192063","17.6549490525668","16.3829251269442","15.1195485314562","14.358714554201","13.8410774289239","13.2924466319613","12.74060410825","12.271300034855","11.8938240928935","11.6461362583203","11.3827405411205","11.0990484393741","10.8000326109898","10.8679871338861","11.5996790638977","12.4649705086066","12.9174584477733","","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2679438628043","11.7224753016432","10.9801994545045","10.3578503061047","9.66693321907482","8.89100891153805","7.98659034958323","7.06757153113667","6.05414546403055","5.48983799589187","5.08504697552905","4.85290045888911","4.6324851882833","4.5050570304853","4.33349170415779","4.18132015759456","4.02166436824332","3.91460582126148","3.86579288192667","3.87847847869195","3.89608242314794","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58205683362594","7.48967187360189","7.28542474624133","6.81676547661452","6.34137721812815","5.85403134289286","5.54866383672807","5.37419625358256","4.77942722283036","4.17149117998198","3.54088904613302","3.43162756724011","3.37269739851608","3.28820905479885","3.20014232081494","3.12095571410472","3.04965437827469","3.01995267734649","3.14328460070787","3.21936496457874","3.34792382256739","","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09020399249596","3.93811419830832","3.80001177838955","3.63338775824691","3.51191669276742","3.39343735067375","3.31172320966158","3.26450352385934","3.11267620187774","2.96214049407919","2.80889886451483","2.77522397584984","2.75478621167822","2.73467908061479","2.71095567096294","2.68976215377577","2.65891233737054","2.64516810175482","2.67451563067475","2.69301805118175","2.73070525803987","","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","22.7","22.7","22.7","22.3","22.7","22","21.1","15.8","12","8.1","8.6","8.7","8.6","9","9.7","10.8","11.9","13.4","14.1","13.9","","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.4","6","6.3","6.4","6","5.6","5.5","5.2","5.1","4.9","5.1","5.3","5.5","5.8","6","6.4","6.3","6.3","6.4","7.2","","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64435313666964","2.60684081853942","2.58720560826475","2.57491915105158","2.56446078173869","2.56605427252739","2.56091389558938","2.55167808269941","2.54306231624603","2.54382644866119","2.55654792769371","2.55082748590557","2.54595887525414","2.54901246237362","2.54733935898707","2.54254088753276","2.52362345757432","2.51258812371238","2.50358436804609","2.50178232762081","2.50784883976317","","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.3","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Ethiopia","ETH","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7","44.1","42.5","39.1","37.1","35.6","35","33.5","28.2","24.2","20.3","18.9","17.3","15.6","14.5","14.1","15.5","18","20.7","22.3","21.9","","",
"European Union","EUU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.63583386937559","2.61053807748964","2.60075306194707","2.59819484071558","2.58982264393871","2.59415537952188","2.58294811994904","2.57214054298342","2.56525224935321","2.5689662401998","2.58192892087346","2.56899293181574","2.55682193569244","2.55903708350335","2.55597541259493","2.55371154850841","2.52779918008258","2.51446289035978","2.50589493430241","2.50138130224549","2.50608951946132","","",
"Fragile and conflict affected situations","FCS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.634696972579","23.9153528295416","23.1611267982855","22.0735650754584","21.1475555244075","20.3381445648814","19.4435221282373","18.70566929797","17.2283288503429","16.2976626664375","15.5092320822768","15.6834538022925","15.4174501539654","15.6942848687474","16.4535314249785","17.0782600305211","17.6593964323592","18.0040495395362","19.0999551889048","20.1375660632995","20.8952826821313","","",
"Finland","FIN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Fiji","FJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3.8","3.7","3.6","3.5","3.5","3.5","3.7","5.4","6.9","8.8","8.8","9.2","8.9","9.2","8.9","8.4","6.9","5.7","5.9","6.6","","",
"France","FRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
